ubicacion,actualizado_dt,avance_actas_pct,actas_contabilizadas,actas_pendientes,actas_jee,total_actas,votantes_ausentes_est,votantes_emitidos_pendientes_est,votantes_emitidos_jee_est,votantes_validos_pendientes_est,votantes_validos_jee_est,candidato_o_tipo,agrupacion,porcentaje_valido_base,porcentaje_valido_usado_prior,votos_proyectados_faltantes,votos_proyectados_pendientes,votos_proyectados_jee,observacion
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,1.318,1.341,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,1.142,1.251,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,0.967,1.048,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,0.849,0.897,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,0.762,0.924,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,0.644,0.767,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0.498,0.615,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,0.498,0.426,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,0.41,0.412,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,0.381,0.491,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,0.351,0.393,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,0.351,0.506,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,0.264,0.315,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,0.234,0.27,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0.234,0.17,0.0,0.0,0.0,Data real
